"ParameterName","Kplas_Increase","Kmusc_Increase","Kplas_Decrease","Kmusc_Decrease"
"kgut",5.190379935716,167.528781729461,4.82425742140281,152.411722343252
"V_plasma",4.56868875762831,160.410909101801,5.58395292599016,160.410909101801
"V_interstitial",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"V_muscle",5.02555763339114,145.828099183455,5.02555763339114,178.234343446446
"P_ECF",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"Vmax",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"Km",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"GFR_base",4.66733762995938,148.874011598609,5.40748632957491,174.58321233743
"eta_ptKreab_base",5.26258658624261,168.955123874353,4.79789720943673,152.902435946609
"eta_LoHKreab",5.19683519222372,166.505462253199,4.85922885273052,154.862556552971
"eta_ptKreab_highK",5.15675014576091,165.042652083279,4.9198691522386,156.845152605242
"dtKsec_eq",4.74410834824315,150.661466583263,5.30969373652705,171.488209044192
"A_dtKsec",4.74410834865523,150.661466600881,5.30969373305316,171.488208988793
"B_dtKsec",4.69369848688286,149.032562767241,5.34221983554213,172.837716704702
"cdKsec_eq",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"A_cdKsec",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"B_cdKsec",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"alpha_TGF",5.13415899432017,164.228241277324,4.91896789113265,156.815354216138
"A_cdKreab",5.58397834230727,182.743658650802,4.49719110554781,143.40100962017
"ALD_eq",4.93437477666638,162.518409993684,5.12496266902604,158.142235542079
"m_K_ALDO",4.97519005281888,161.274794764686,5.08132538636405,159.453110689334
"FF",4.77834862101016,151.626368741517,5.27409914761778,170.233406689543
"A_insulin",5.10278251962245,163.349293389839,4.94220844906983,157.422835482695
"alpha_al",5.00845082079877,169.591773295833,5.04294229408991,151.230838713958
"beta_al",5.00070050457063,165.086931058076,5.04944463052176,155.55131026304
"k",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
"x0",5.02555763339114,160.410909101801,5.02555763339114,160.410909101801
